OverallQual,MSSubClass_150,Heating_Grav,RoofMatl_ClyTile,Heating_GasW,Heating_GasA,RoofMatl_WdShngl,Heating_Wall,Heating_OthW,Heating_Floor,MSZoning_C (all),GrLivArea,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Tar&Grv,SalePrice
7,0,0,0,0,1,0,0,0,0,0,7.444833273892193,0,0,0,12.24769911637256
6,0,0,0,0,1,0,0,0,0,0,7.141245122350491,0,0,0,12.109016442313738
7,0,0,0,0,1,0,0,0,0,0,7.488293515159428,0,0,0,12.317171167298682
7,0,0,0,0,1,0,0,0,0,0,7.4489161025442,0,0,0,11.849404844423074
8,0,0,0,0,1,0,0,0,0,0,7.695757990554761,0,0,0,12.429220196836383
5,0,0,0,0,1,0,0,0,0,0,7.217443431696533,0,0,0,11.870606902224587
8,0,0,0,0,1,0,0,0,0,0,7.43543801981455,0,0,0,12.634606283893019
7,0,0,0,0,1,0,0,0,0,0,7.645397699428633,0,0,0,12.206077645517674
7,0,0,0,0,1,0,0,0,0,0,7.4815557019095165,0,0,0,11.774527900858468
5,0,0,0,0,1,0,0,0,0,0,6.982862751468942,0,0,0,11.678448377988165
5,0,0,0,0,1,0,0,0,0,0,6.947937068614969,0,0,0,11.771443882099637
9,0,0,0,0,1,0,0,0,0,0,7.751475318021456,0,0,0,12.75130259456002
5,0,0,0,0,1,0,0,0,0,0,6.816735880594968,0,0,0,11.87757552297847
7,0,0,0,0,1,0,0,0,0,0,7.3098814858247865,0,0,0,12.540761149388421
6,0,0,0,0,1,0,0,0,0,0,7.134093721192866,0,0,0,11.964007453736912
7,0,0,0,0,1,0,0,0,0,0,6.75110146893676,0,0,0,11.790564777297387
6,0,0,0,0,1,0,0,0,0,0,6.912742820493176,0,0,0,11.91170829631447
4,0,0,0,0,1,0,0,0,0,0,7.167809184316444,0,0,0,11.407576060361786
5,0,0,0,0,1,0,0,0,0,0,7.016609683894219,0,0,0,11.976665770490767
5,0,0,0,0,1,0,0,0,0,0,7.200424892944957,0,0,0,11.842236406331555
8,0,0,0,0,1,0,0,0,0,0,7.773594467360194,0,0,0,12.692506186542177
7,0,0,0,0,1,0,0,0,0,0,7.011213987350367,0,0,0,11.845109950883979
8,0,0,0,0,1,0,0,0,0,0,7.493317248862145,0,0,0,12.345838935721968
5,0,0,0,0,1,0,0,0,0,0,6.966967138613983,0,0,0,11.774527900858468
5,0,0,0,0,1,0,0,0,0,0,6.966967138613983,0,0,0,11.944714374881176
8,0,0,0,0,1,0,0,0,0,0,7.3783837129967145,0,0,0,12.454107814022272
5,0,0,0,0,1,0,0,0,0,0,6.803505257608338,0,0,0,11.811554895830454
8,0,0,0,0,1,0,0,0,0,0,7.4413203897176174,0,0,0,12.631343648903034
5,0,0,0,0,1,0,0,0,0,0,7.3783837129967145,0,0,0,12.242891437918386
4,0,0,0,0,1,0,0,0,0,0,6.255750041753367,0,0,0,11.134603622683905
4,0,0,0,0,1,0,0,0,0,1,7.183870715062453,0,0,0,10.596659732783579
5,0,0,0,0,1,0,0,0,0,0,7.113956109566034,0,0,0,11.914054519303125
8,0,0,0,0,1,0,0,0,0,0,7.118826249062078,0,0,0,12.100161978566867
5,0,0,0,0,1,0,0,0,0,0,7.438971592395862,0,0,0,12.016732516077072
9,0,0,0,0,1,0,0,0,0,0,7.3537223303996315,0,0,0,12.533579815765737
8,0,0,0,0,1,0,0,0,0,0,7.8050670442584895,0,0,0,12.6410997921206
5,0,0,0,0,1,0,0,0,0,0,7.001245622069476,0,0,0,11.884495917930655
5,0,0,0,0,1,0,0,0,0,0,7.168579897264035,0,0,0,11.938199736300925
5,0,0,0,0,1,0,0,0,0,0,6.964135612418245,0,0,0,11.599112335481124
4,0,0,0,0,1,0,0,0,0,0,7.050122520269059,0,0,0,11.314486721293981
6,0,0,0,0,1,0,0,0,0,0,7.1891677384203225,0,0,0,11.982935344196433
5,0,0,0,0,1,0,0,0,0,0,7.192182058713246,0,0,0,12.04355959836804
5,0,0,0,0,1,0,0,0,0,0,6.785587645007929,0,0,0,11.87757552297847
5,0,0,0,0,1,0,0,0,0,0,6.844815479208263,0,0,0,11.777218637129327
5,0,0,0,0,1,0,0,0,0,0,7.048386408721883,0,0,0,11.856522261533737
9,0,0,0,0,1,0,0,0,0,0,7.469083884921234,0,0,0,12.675766851909591
7,0,0,0,0,1,0,0,0,0,0,7.673223121121708,0,0,0,12.387089184491993
8,0,0,0,0,1,0,0,0,0,0,7.4127640174265625,0,0,0,12.428019481065613
4,0,0,0,0,1,0,0,0,0,0,7.2813856635702825,0,0,0,11.635151947212842
5,0,0,0,0,1,0,0,0,0,0,6.862757913051401,0,0,0,11.751950239425476
6,0,0,0,0,1,0,0,0,0,0,7.293697720601438,0,0,0,12.083910661257521
6,0,0,0,0,1,0,0,0,0,0,7.0707241072602764,0,0,0,11.648338835562747
5,0,0,0,0,1,0,0,0,0,0,6.705639094860003,0,0,0,11.608244735642321
9,0,0,0,0,1,1,0,0,0,0,7.519149957669823,0,0,0,12.861001210669146
5,0,0,0,0,1,0,0,0,0,0,7.215975002651466,0,0,0,11.775297421715827
6,0,0,0,0,1,0,0,0,0,0,7.262628600974241,0,0,0,12.103491596905931
8,0,0,0,0,1,0,0,0,0,0,7.461640392208575,0,0,0,12.058158312538197
7,0,0,0,0,1,0,0,0,0,0,7.450660796211539,0,0,0,12.188422799337028
10,0,0,0,0,1,0,0,0,0,0,7.988203597022576,0,0,0,12.991755706536901
5,0,0,0,0,1,0,0,0,0,0,6.660575149839686,0,0,0,11.735276702486741
6,0,0,0,0,1,0,0,0,0,0,7.055312843339752,0,0,0,11.970356641102999
5,0,0,0,0,1,0,0,0,0,0,7.013915474810528,0,0,0,11.522885696764481
8,0,0,0,0,1,0,0,0,0,0,7.223295679562314,0,0,0,12.218500103788143
7,0,0,0,0,1,0,0,0,0,0,7.444833273892193,0,0,0,11.849404844423074
7,0,0,0,0,1,0,0,0,0,0,7.618251097876695,0,0,0,12.299112067295642
8,0,0,0,0,1,0,0,0,0,0,7.813591552952433,0,0,0,12.666660207428574
7,0,0,0,0,1,0,0,0,0,0,7.699842407396986,0,0,0,12.100717685412471
7,0,0,0,0,1,0,0,0,0,0,7.299797366758161,0,0,0,12.328294703023394
4,0,0,0,0,1,0,0,0,0,0,6.617402977974478,0,0,0,11.289794413577894
7,0,0,0,1,0,0,0,0,0,0,7.7354333524996886,0,0,0,12.323860125621126
7,0,0,0,0,1,0,0,0,0,0,7.707062655370473,0,0,0,12.404927602627597
4,0,0,0,0,1,0,0,0,0,0,6.740519359606223,0,0,0,11.771443882099637
7,0,0,0,0,1,0,0,0,0,0,7.449498005382849,0,0,0,12.128116509451258
5,0,0,0,0,1,0,0,0,0,0,6.99117688712121,0,0,0,11.88380602959621
3,0,0,0,0,1,0,0,0,0,0,7.381501894506707,0,0,0,11.58432477200052
4,0,0,0,0,1,0,0,0,0,0,6.8966943316227125,0,0,0,11.418625774449596
4,0,0,0,0,1,0,0,0,0,0,6.859614903654202,0,0,0,11.818577604251555
5,0,0,0,0,1,0,0,0,0,0,7.1592919047975645,0,0,0,11.751950239425476
4,0,0,0,0,1,0,0,0,0,0,7.478169694159785,0,0,0,11.824087219587643
5,0,0,0,0,1,0,0,0,0,0,7.115582126184454,0,0,0,11.608244735642321
6,0,0,0,0,1,0,0,0,0,0,7.669961995473577,0,0,0,12.173037959397275
6,0,0,0,0,1,0,0,0,0,0,7.198931240688173,0,0,0,11.941462360646149
8,0,0,0,0,1,0,0,0,0,0,7.355001921105257,0,0,0,12.409017571151187
5,0,0,0,0,1,0,0,0,0,0,6.97166860472579,0,0,0,11.748005492256807
7,0,0,0,0,1,0,0,0,0,0,7.29641326877392,0,0,0,12.034696963475044
8,0,0,0,0,1,0,0,0,0,0,7.790696031174738,0,0,0,12.468440756144114
6,0,0,0,0,1,0,0,0,0,0,7.353081920515432,0,0,0,12.066816325306588
6,0,0,0,0,1,0,0,0,0,0,7.110696122978827,0,0,0,12.010671928196443
3,0,0,0,0,1,0,0,0,0,1,7.3310603052186325,0,0,0,11.350418300109132
4,0,0,0,0,1,0,0,0,0,0,6.898714534329988,0,0,0,11.724813914587886
4,0,0,0,0,1,0,0,0,0,0,6.947937068614969,0,0,0,11.60733523953139
5,0,0,0,0,1,0,0,0,0,0,7.119635638017636,0,0,0,11.498836682527127
5,0,0,0,0,1,0,0,0,0,0,6.872128101338986,0,0,0,12.004574385508691
6,0,0,0,1,0,0,0,0,0,1,7.73718007783463,0,0,0,11.804855999911272
6,0,0,0,0,1,0,0,0,0,0,7.488293515159428,0,0,0,12.229549885708273
6,0,0,0,0,1,0,0,0,0,0,7.293697720601438,0,0,0,12.128116509451258
7,0,0,0,0,1,0,0,0,0,0,7.370860166536716,0,0,0,12.273735966890268
4,0,0,0,0,1,0,0,0,0,0,6.8679744089702925,0,0,0,11.459007676978688
5,0,0,0,0,1,0,0,0,0,0,6.728628613084702,0,0,0,11.326607934898927
4,0,0,0,0,1,0,0,0,0,0,7.111512116496157,0,0,0,11.767187766223199
6,0,0,0,0,1,0,0,0,0,0,7.384610383176974,0,0,0,12.230770136157428
6,0,0,0,0,1,0,0,0,0,0,7.457609289715606,0,0,0,12.08954444723597
5,0,0,0,0,1,0,0,0,0,0,7.336936913707618,0,0,0,11.68658461118553
7,0,0,0,0,1,0,0,0,0,0,7.112327444710911,0,0,0,12.200562492481511
7,0,0,0,0,1,0,0,0,0,0,7.506042178518122,0,0,0,12.040614105490253
8,0,0,0,0,1,0,0,0,0,0,7.597396320212795,0,0,0,12.429220196836383
4,0,0,0,0,1,0,0,0,0,0,6.954638864880987,0,0,0,11.51293546492023
5,0,0,0,0,1,0,0,0,0,0,6.672032945461067,0,0,0,11.652696102959753
5,0,0,0,1,0,0,0,0,0,0,7.325148957955575,0,0,0,11.652696102959753
6,0,0,0,0,1,0,0,0,0,0,7.520234556474628,0,0,0,12.154784614286667
6,0,0,0,0,1,0,0,0,0,0,7.526178913346146,0,0,0,11.827013315851762
7,0,0,0,0,1,0,0,0,0,0,7.266128779556451,0,0,0,12.100717685412471
7,0,0,0,0,1,0,0,0,0,0,7.89989532313973,0,0,0,12.85832230788469
6,0,0,0,0,1,0,0,0,0,0,7.723120092266331,0,0,0,12.28765724080691
6,0,0,0,0,1,0,0,0,0,0,7.749753406274437,0,0,0,12.466515835145202
6,0,0,0,0,1,0,0,0,0,0,7.285506548522785,0,0,0,12.07824495582233
5,0,0,0,0,1,0,0,0,0,0,6.996681488176539,0,0,0,11.842236406331555
5,0,0,0,0,1,0,0,0,0,0,7.026426808699636,0,0,0,11.951186847493476
7,0,0,0,0,1,0,0,0,0,0,8.078067881815437,0,0,0,12.676079399771027
6,0,0,0,0,1,0,0,0,0,0,7.284134806195205,0,0,0,12.0075668272517
6,0,0,0,0,1,0,0,0,0,0,6.8966943316227125,0,1,0,12.100717685412471
4,0,0,0,0,1,0,0,0,0,0,7.024649030453636,0,0,0,11.51293546492023
6,0,0,0,0,1,0,0,0,0,0,6.985641817639208,0,0,0,11.820417517632333
6,0,0,0,0,1,0,0,0,0,0,7.090076835776092,0,0,0,11.944064817531656
6,0,0,0,0,1,0,0,0,0,0,7.369600720526409,0,0,0,12.10625783509458
6,0,0,0,0,1,0,0,0,0,0,6.626717749249025,0,0,0,11.344518647594766
6,0,0,0,0,1,0,0,0,0,0,6.8658910748834385,0,0,0,11.759793355371237
5,0,0,0,0,1,0,0,0,0,0,6.734591659972948,0,0,0,11.373674891823535
6,0,0,0,0,1,0,0,0,0,0,7.207118856207756,0,0,0,11.951186847493476
5,0,0,0,0,1,0,0,0,0,0,6.960347729101308,0,0,0,11.918397239722838
7,0,0,0,0,1,0,0,0,0,0,7.67693714581808,0,0,0,12.328294703023394
6,0,0,0,0,1,0,0,0,0,0,7.628031126930335,0,0,0,12.404927602627597
5,0,0,0,0,1,0,0,0,0,0,7.191429330036379,0,0,0,11.923384748066601
8,0,0,0,0,1,0,0,0,0,0,7.167809184316444,0,0,0,12.301387370778713
5,0,0,0,0,1,0,0,0,0,0,7.451241684987676,0,0,0,12.100717685412471
7,0,0,0,0,1,0,0,0,0,0,7.428333194190806,0,0,0,12.066816325306588
5,0,0,0,0,1,0,0,0,0,0,7.102499355774649,0,0,0,11.870606902224587
7,0,0,0,0,1,0,0,0,0,0,7.580699752224563,0,0,0,12.049424683420915
8,0,0,0,0,1,0,0,0,0,0,7.52456122628536,0,0,0,12.345838935721968
6,0,0,0,0,1,0,0,0,0,0,7.475905969367397,0,0,0,12.352339472153524
4,0,0,0,0,1,0,0,0,0,0,6.762729506931879,0,0,0,11.652696102959753
7,0,0,0,0,1,0,0,0,0,0,7.45876269238096,0,0,0,12.468440756144114
5,0,0,0,0,1,0,0,0,0,0,7.234177179749849,0,0,0,12.019749091416921
7,0,0,0,0,1,0,0,0,0,0,7.31455283232408,0,0,0,12.225880174775122
5,0,0,0,0,1,0,0,0,0,0,7.455298485683291,0,0,0,11.736077016252437
6,0,0,0,0,1,0,0,0,0,0,7.444248649496705,0,0,0,11.775297421715827
5,0,0,0,0,1,0,0,0,0,0,6.775366090936392,0,0,0,11.561725152903833
7,0,0,0,0,1,0,0,0,0,0,7.618742377670413,0,0,0,12.312686874960354
7,0,0,0,0,1,0,0,0,0,0,6.985641817639208,0,0,0,11.856522261533737
5,0,0,0,0,1,0,0,0,0,0,7.20414929203594,0,0,0,11.652696102959753
5,0,0,0,0,1,0,0,0,0,0,6.877296071497429,0,0,0,11.711784520403112
8,0,0,0,0,1,0,0,0,0,0,7.444833273892193,0,0,0,12.827731880206521
6,0,0,0,0,1,0,0,0,0,0,7.597897950521784,0,0,0,12.154784614286667
6,0,0,0,0,1,0,0,0,0,0,7.133295954896068,0,0,0,12.367345048436391
6,0,0,0,0,1,0,0,0,0,0,7.0909098220799835,0,0,0,11.736077016252437
6,0,1,0,0,0,0,0,0,0,0,7.00033446027523,0,0,0,11.277215789596893
5,0,0,0,0,1,0,0,0,0,0,6.947937068614969,0,0,0,11.603688960617083
8,0,0,0,0,1,0,0,0,0,0,7.585281078639126,0,0,0,12.504327379899443
7,0,0,0,0,1,0,0,0,0,0,7.5745584842024805,0,0,0,12.448630513463613
7,0,0,0,0,1,0,0,0,0,0,7.809135398120538,0,0,0,12.676079399771027
6,0,0,0,0,1,0,0,0,0,0,7.117205503164344,0,0,0,11.998439434579149
9,0,0,0,0,1,0,0,0,0,0,7.889459149404524,0,0,0,12.929993908996359
7,0,0,0,0,1,0,0,0,0,0,7.340835554123275,0,0,0,12.301387370778713
4,0,0,0,0,1,0,0,0,0,0,6.78332520060396,0,0,0,11.544433821905134
6,0,0,0,0,1,0,0,0,0,0,7.388327859577107,0,0,0,11.931642378754141
5,0,0,0,0,1,0,0,0,0,0,7.212294468500341,0,0,0,11.755879486687116
5,0,0,0,0,1,0,0,0,0,0,7.532623618788788,0,0,0,12.154784614286667
8,0,0,0,0,1,0,0,0,0,0,7.6787889981991535,0,0,0,12.693501691489768
7,0,0,0,0,1,0,0,0,0,0,7.450660796211539,0,0,0,12.119975396053194
8,0,0,0,0,1,0,0,0,0,0,7.443078374348516,0,0,0,12.337105293891872
5,0,0,0,0,1,0,0,0,0,0,7.232010331664759,0,0,0,11.763691965388299
6,0,0,0,0,1,0,0,0,0,0,7.4127640174265625,0,0,0,12.278397958261774
7,0,0,0,0,1,0,0,0,0,0,7.477604243197589,0,0,0,12.384223015005313
6,0,0,0,0,1,0,0,0,0,0,7.217443431696533,0,0,0,12.001511614739405
6,0,0,0,0,1,0,0,0,0,0,7.409741954080923,0,0,0,12.122696471358964
6,0,0,0,0,1,0,0,0,0,0,7.677400430514807,0,0,0,12.400820837540556
6,0,0,0,0,1,0,0,0,0,0,7.630946580890459,0,0,0,12.259618151783465
5,0,0,0,0,1,0,0,0,0,0,7.560601162768557,0,0,0,12.058158312538197
9,0,0,0,0,1,0,0,0,0,0,7.711996507047669,0,0,0,13.126032637428713
5,0,0,0,0,1,0,0,0,0,0,6.876264611890766,0,0,0,11.51293546492023
6,0,0,0,0,1,0,0,0,0,0,7.330405211844402,0,0,0,12.083910661257521
7,0,0,0,0,1,0,0,0,0,0,7.497207223203318,0,0,0,12.206577518060588
5,0,0,0,0,1,0,0,0,0,0,7.201170883281678,0,0,0,11.695255355062795
7,0,0,0,0,1,0,0,0,0,0,7.641564441260972,0,0,0,12.206077645517674
5,0,0,0,0,1,0,0,0,0,0,7.133295954896068,0,0,0,11.751950239425476
10,0,0,0,0,1,1,0,0,0,0,8.19118600464279,0,0,0,13.07107218827772
7,0,0,0,0,1,0,0,0,0,0,7.1049654482698426,0,0,0,12.06105265381003
5,0,0,0,0,1,0,0,0,0,0,7.4127640174265625,0,0,0,11.813037464800539
5,0,0,0,0,1,0,0,0,0,0,7.110696122978827,0,0,0,11.940399914116648
8,0,0,0,0,1,0,0,0,0,0,7.374001859350161,0,0,0,12.563750586299374
8,0,0,0,0,1,0,0,0,0,0,7.911324018963353,0,0,0,12.660331092405906
7,0,0,0,0,1,0,0,0,0,0,7.299797366758161,0,0,0,12.122696471358964
7,0,0,0,0,1,0,0,0,0,0,7.266827347520591,0,0,0,12.165255859329688
7,0,0,0,0,1,0,0,0,0,0,7.444248649496705,0,0,0,11.775297421715827
5,0,0,0,0,1,0,0,0,0,0,6.762729506931879,0,0,0,11.751950239425476
6,0,0,0,0,1,0,0,0,0,0,7.284134806195205,0,0,0,11.908346971208951
7,0,0,0,0,1,0,0,0,0,0,7.454141078146678,0,0,0,12.650351332641707
8,0,0,0,0,1,0,0,0,0,0,8.043342170441608,0,0,0,12.367345048436391
6,0,0,0,0,1,0,0,0,0,0,7.709756864454165,0,0,0,11.552155793461898
8,0,0,0,0,1,0,0,0,0,0,7.446585099157725,0,0,0,12.524166311833152
4,0,0,0,0,1,0,0,0,0,0,7.022868086082641,0,0,0,11.849404844423074
6,0,0,0,0,1,0,0,0,0,0,7.154615356913663,0,0,0,12.052344376474922
6,0,0,0,0,1,0,0,0,0,0,7.1785454837637,0,0,0,11.626263078808801
6,0,0,0,0,1,0,0,0,0,0,6.744059186311348,0,0,0,11.91170829631447
5,0,0,0,0,1,0,0,0,0,0,7.158513997329321,0,0,0,11.608244735642321
7,0,0,0,0,1,0,0,0,0,0,7.274479558773871,0,0,0,12.103491596905931
5,0,0,0,0,1,0,0,0,0,0,7.436617265234227,0,0,0,11.87688084212164
4,0,0,0,0,1,0,0,0,0,0,7.00397413672268,0,0,0,11.856522261533737
7,0,0,0,0,1,0,0,0,0,0,7.631916513071252,0,0,0,12.531776395271262
6,0,0,0,0,1,0,0,0,0,0,6.996681488176539,0,0,0,11.884495917930655
5,0,0,0,0,1,0,0,0,0,0,6.762729506931879,0,0,0,11.49273296168228
6,0,0,0,0,1,0,0,0,0,0,7.10085190894405,0,0,0,12.133507329024972
7,0,0,0,0,1,0,0,0,0,0,7.52456122628536,0,0,0,12.439875187430008
5,0,0,0,0,1,0,0,0,0,0,6.898714534329988,0,0,0,11.957617696467539
6,0,0,0,0,1,0,0,0,0,0,7.239214973779806,0,0,0,11.993813394724253
5,0,0,0,0,1,0,0,0,0,0,7.1204443723924875,0,0,0,11.808955099378537
7,0,0,0,0,1,0,0,0,0,0,7.270312886079025,0,0,0,12.25486757159303
4,0,0,0,0,1,0,0,0,0,0,7.192182058713246,0,0,0,11.580593459194764
7,0,0,0,0,1,0,0,0,0,0,7.578145472419466,0,0,0,12.649157827477366
7,0,0,0,0,1,0,0,0,0,0,7.130098510125578,0,0,0,12.027191164883384
7,0,0,0,0,1,0,0,0,0,0,7.312553498102598,0,0,0,12.230282214644559
6,0,0,0,0,1,0,0,0,0,0,7.7266536648476425,0,0,0,12.206077645517674
6,0,0,0,0,1,0,0,0,0,0,7.347943823148687,0,0,0,12.100161978566867
4,0,0,0,0,1,0,0,0,0,0,6.762729506931879,0,0,0,11.48247656671073
10,0,0,0,0,1,0,0,0,0,0,7.780303087908373,0,0,0,12.864242696187505
5,0,0,0,0,1,0,0,0,0,0,7.172424577124845,0,0,0,11.626263078808801
7,0,0,0,0,1,0,0,0,0,0,7.83241092718792,0,0,0,12.577639650232573
6,0,0,0,0,1,0,0,0,0,0,6.895682697747868,0,0,0,11.571203807011969
5,0,0,0,0,1,0,0,0,0,0,6.816735880594968,0,0,0,11.736077016252437
7,0,0,0,0,1,0,0,0,0,0,7.349873704738337,0,0,0,12.167856627501678
6,0,0,0,0,1,0,0,0,0,0,7.085901464365611,0,0,0,11.904974309480183
8,0,0,0,0,1,0,0,0,0,0,7.9355873855892,0,0,0,12.90669432231532
6,0,0,0,0,1,0,0,0,0,0,6.895682697747868,0,0,0,11.456365695436427
5,0,0,0,0,1,0,0,0,0,0,6.796823718274855,0,0,0,11.761354623750297
6,0,0,0,0,1,0,0,0,0,0,7.581209826196346,0,0,0,12.285350445351659
6,0,0,0,0,1,0,0,0,0,0,6.895682697747868,0,0,0,11.402005077384885
7,0,0,0,0,1,0,0,0,0,0,7.254884810077338,0,0,0,12.130815551850676
7,0,0,0,0,1,0,0,0,0,0,7.4645098346365275,0,0,0,12.178192583415596
8,0,0,0,0,1,0,0,0,0,0,7.43543801981455,0,0,0,12.669809806411457
6,0,0,0,0,1,0,0,0,0,0,7.305188215393037,0,0,0,11.635151947212842
8,0,0,0,0,1,0,0,0,0,0,7.356918242356021,0,0,0,12.47801017053037
5,0,0,0,0,1,0,0,0,0,0,6.7650389767805414,0,0,0,11.612779849672751
5,0,0,0,0,1,0,0,0,0,0,7.273092595999522,0,0,0,11.277215789596893
6,0,0,0,0,1,0,0,0,0,0,7.1049654482698426,0,0,0,11.695255355062795
7,0,0,0,0,1,0,0,0,0,0,7.65491704784832,0,0,0,12.230770136157428
7,0,0,0,0,1,0,0,0,0,0,7.5352967024440884,0,0,0,12.394628892852941
6,0,0,0,0,1,0,0,0,0,0,7.564757012905729,0,0,0,11.827743504053695
6,0,0,0,0,1,0,0,0,0,0,7.226936018493289,0,0,0,11.849404844423074
7,0,0,0,0,1,0,0,0,0,0,7.419979923661835,0,0,0,12.100717685412471
6,0,0,0,0,1,0,0,0,0,0,7.6708948313621175,0,0,0,12.531776395271262
3,0,0,0,0,1,0,0,0,0,0,7.175489713624222,0,0,0,11.245059091624615
8,0,0,0,0,1,0,0,0,0,0,7.3938782901077555,0,0,0,12.367345048436391
6,0,0,0,0,1,0,0,0,0,0,7.403061091090091,0,0,0,12.06105265381003
6,0,0,0,0,1,0,0,0,0,0,7.172424577124845,0,0,0,11.970356641102999
5,0,0,0,0,1,0,0,0,0,0,7.181591944611865,0,0,0,11.884495917930655
7,0,0,0,0,1,0,0,0,0,0,7.73718007783463,0,0,0,12.345838935721968
6,0,0,0,0,1,0,0,0,0,0,7.455298485683291,0,0,0,12.242891437918386
7,0,0,0,0,1,0,0,0,0,0,7.380879035564116,0,0,0,12.301387370778713
7,0,0,0,0,1,0,0,0,0,0,7.491645473605133,0,0,0,12.352339472153524
5,0,0,0,0,1,0,0,0,0,0,6.78332520060396,0,0,0,11.48247656671073
6,0,0,0,0,1,0,0,0,0,0,7.232010331664759,0,0,0,12.07824495582233
8,0,0,0,0,1,0,0,0,0,0,7.853604813097837,0,0,0,12.52815976788113
6,0,0,0,0,1,0,0,0,0,0,7.10085190894405,0,0,0,11.92504173829169
5,0,0,0,0,1,0,0,0,0,0,7.183111701743281,0,0,0,11.775297421715827
5,0,0,0,0,1,0,0,0,0,0,6.639875833826536,0,0,0,11.19822841866684
6,0,0,0,0,1,0,0,0,0,0,7.260522598089852,0,0,0,12.075400019877522
6,0,0,0,0,1,0,0,0,0,0,7.321188556739478,0,0,0,12.128116509451258
5,0,0,0,0,1,0,0,0,0,0,7.693025748417888,0,0,0,12.097936057925594
5,0,0,0,0,1,0,0,0,0,0,6.658011045870748,0,0,0,11.699413330633599
6,0,0,0,0,1,0,0,0,0,0,7.01571242048723,0,0,0,11.904974309480183
8,0,0,0,0,1,0,0,0,0,0,7.570443252057374,0,0,0,12.491255347155265
7,0,0,0,0,1,0,0,0,0,0,7.218176838403408,1,0,0,12.394628892852941
8,0,0,0,0,1,0,0,0,0,0,7.7279755421055585,0,0,0,12.577639650232573
6,0,0,0,0,1,0,0,0,0,0,7.398174092970465,0,0,0,11.842236406331555
5,0,0,0,0,1,0,0,0,0,0,6.705639094860003,0,0,0,11.732069026983156
7,0,0,0,1,0,0,0,0,0,0,7.3453648404168685,0,0,0,12.230770136157428
7,0,0,0,0,1,0,0,0,0,0,7.353081920515432,0,0,0,12.211065162153215
4,0,0,0,0,1,0,0,0,0,0,6.762729506931879,0,0,0,11.856522261533737
9,0,0,0,0,1,0,0,0,0,0,7.660114319173928,0,0,0,12.936754021718041
7,0,0,0,0,1,0,0,0,0,0,7.612336837167746,0,0,0,12.165255859329688
7,0,0,0,0,1,0,0,0,0,0,7.592366128519796,0,0,0,12.339295865674435
6,0,0,0,0,1,0,0,0,0,0,7.141245122350491,0,0,0,12.128116509451258
7,0,0,0,0,1,0,0,0,0,0,7.181591944611865,0,0,0,12.242891437918386
8,0,0,0,0,1,0,0,0,0,0,7.292337176173877,0,0,0,12.407383590534293
6,0,0,0,0,1,0,0,0,0,0,7.362645270417825,0,0,0,12.09626335986454
7,0,0,0,0,1,0,0,0,0,0,7.1316985104669115,0,0,0,12.011886987792716
6,0,0,0,0,1,0,0,0,0,0,7.45876269238096,0,0,0,11.976665770490767
4,0,0,0,0,1,0,0,0,0,0,6.755768921984255,0,0,0,11.385103457032141
5,0,0,0,0,1,0,0,0,0,0,6.803505257608338,0,0,0,11.711784520403112
